File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
dynamic-learning-rivers_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers
dynamic-learning-rivers_flmd.csv,"File-level metadata that lists and describes all of the files contained in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers
README.md,"Instructions for how to use the plotting scripts/notebooks.",N/A,-9999,-9999,/dynamic-learning-rivers/examples
superlearner.ipynb,"Jupyter notebook that has examples for how to load and reuse the SuperLearner ML models in this repository",N/A,-9999,-9999,/dynamic-learning-rivers/examples
cold-hot-spot-Nov-2023-testing.csv,"Testing set generated by get_cold_and_hot_spot_sites.ipynb",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility
cold-hot-spot-Nov-2023-testing-workflow-reformatted.csv,"Testing set generated by get_cold_and_hot_spot_sites.ipynb; reformatted to be used as external collaborator prediction file",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility
cold-hot-spot-Nov-2023-training.csv,"Training set generated by get_cold_and_hot_spot_sites.ipynb",ESS-DIVE CSV v1,1,1,/dynamic-learning-rivers/examples/ModEx_reproducibility
get_cold_and_hot_spot_sites.ipynb,"Jupyter notebook for creating a training set with only cold spots; see first cell for scientific motivation",N/A,-9999,-9999,/dynamic-learning-rivers/examples/ModEx_reproducibility
get_hp_and_lp_sites.ipynb,"Jupyter notebook to separate HP and LP sites; generates files in hp_lp_training_data_based_on_combined_metric",N/A,-9999,-9999,/dynamic-learning-rivers/examples/ModEx_reproducibility
get_hp_and_lp_sites_by_pca_only.ipynb,"Jupyter notebook to separate HP and LP sites based on PCA results; generates files in hp_lp_training_data_based_on_pca_dist",N/A,-9999,-9999,/dynamic-learning-rivers/examples/ModEx_reproducibility
