US_Latitude_dec.deg,US_Water.Column.Height_cm,US_Algal.Mat.Coverage,US_Macrophyte.Coverage,US_Sunlight.Access_Perc.Canopy.Cover,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC,Stream_Order,NOSC,lamO2,lamHCO3,n_chems,skew_lamO2,skew_lamHCO3,perc_AminoSugar,perc_Carb,perc_ConHC,perc_Lignin,perc_Lipid,perc_Other,perc_Protein,perc_Tannin,perc_UnsatHC,del_2H_permil,del_18O_permil,RA_dm,RA_ms_av,RA_ms_mn,RA_ms_mx,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav,General_Vegetation_Broadleaf deciduous tree,General_Vegetation_Broadleaf deciduous tree. Crop,General_Vegetation_Broadleaf deciduous tree. Grass,General_Vegetation_Broadleaf deciduous tree. Shrub,General_Vegetation_Broadleaf evergreen tree,General_Vegetation_Broadleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_Grass,General_Vegetation_Needleleaf deciduous tree. Broadleaf deciduous tree,General_Vegetation_Needleleaf deciduous tree. Grass,General_Vegetation_Needleleaf evergreen tree,General_Vegetation_Needleleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_Needleleaf evergreen tree. Broadleaf evergreen tree,General_Vegetation_Needleleaf evergreen tree. Grass,General_Vegetation_Needleleaf evergreen tree. Shrub,General_Vegetation_Shrub,General_Vegetation_Shrub. Grass,Hydrogeomorphology_Multi-channel,Hydrogeomorphology_Single-channel meandering,Hydrogeomorphology_Single-channel straight,River_Gradient_Relatively flat/gentle gradient (e.g. valleys),River_Gradient_Relatively steep gradient (e.g. mountainous or hilly terrain),Sediment_Bedrock (primarily),Sediment_Gravel/cobble (gt2mm),Sediment_Sand,Sediment_Silt/mud (lt0.0625mm),US_Depositional.Type_Downstream from obstacles,US_Depositional.Type_Downstream of small tributary,US_Depositional.Type_Inside bend of a stream,US_Depositional.Type_Marsh,US_Depositional.Type_Pool lip,US_Depositional.Type_Riffle,US_Depositional.Type_Shallow waters near the shore,US_Depositional.Type_Upstream of weir barrier deposition,rate.mg.per.L.per.h
39.311813,17.0,2.0,1.0,1.0,7.5,88.44313725490197,8.101208791208792,25.7,2.0,-0.4069699936534281,0.0448673766276477,0.0513404608886566,7176.0,1.836341861759573,1.8315215651960184,0.0465440356744704,0.0298216276477146,0.1038182831661092,0.4236343366778149,0.0918338907469342,0.0153288740245261,0.1808807134894091,0.0625696767001114,0.0455685618729096,-72.30647058823527,-10.188999999999998,0.1751579999999999,0.3978522701674677,0.2230214134178199,0.8035495146762661,557.0,0.0,168.0,128.0,20.0,96.0,124.0,247.0,124.0,1119.0,31.0,1119.0,853.0,103.0,853.0,1.0,115.0,1.0,2.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,19.0,19.0,37.0,37.0,45.0,45.0,27.0,27.0,82.0,39.0,82.0,0.0,0.0,428.0,428.0,30.792,30.792,1529.11,1529.1989999999998,100.0,100.0,6300.0,6300.0,9656.0,9656.0,365.0,365.0,0.064307,2057.21,953.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,-15.11428572
37.05229,3.0,1.0,2.0,4.0,6.5,88.44313725490197,8.101208791208792,11.2,1.0,-0.2261903139802168,0.045431014407588,0.0490328215493224,3690.0,1.2930209494548233,1.3547189588258453,0.0260162601626016,0.0151761517615176,0.1262872628726287,0.5487804878048781,0.0287262872628726,0.0100271002710027,0.1008130081300813,0.1195121951219512,0.0246612466124661,-84.3,-12.35,0.3336699999999999,0.4556993556469721,0.0754614688611545,1.1857707509881423,260.0,0.0,494.0,2007.0,112.0,273.0,79.0,155.0,58.0,877.0,158.0,818.0,563.0,77.0,531.0,-12.0,177.0,-8.0,33.0,90.0,41.0,99.0,96.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,12.0,27.0,27.0,61.0,61.0,54.0,46.0,64.0,75.0,66.0,0.0,0.0,1205.0,2141.0,0.006,0.006,0.147,0.049,0.0,0.0,0.0,0.0,5.0,10.0,3.0,3.0,0.055768,0.327264,951.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-5.276923075
36.961273,6.0,1.0,2.0,2.0,6.5,41.1,4.62,12.6,1.0,-0.1833345086954622,0.0440712165246299,0.0474514075726765,4121.0,1.6806932376410555,1.7484622001585983,0.0271778694491628,0.0211113807328318,0.1516622179082747,0.5185634554719728,0.0237806357680174,0.0094637223974763,0.0924532880368842,0.1264256248483377,0.0293618053870419,-86.4,-12.61,0.129239,0.0862056369719904,0.0138805686649815,0.2104001987112987,344.0,0.0,458.0,2186.0,118.0,2539.0,69.0,153.0,69.0,832.0,149.0,832.0,542.0,73.0,542.0,-11.0,176.0,-11.0,32.0,85.0,32.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,30.0,30.0,57.0,57.0,49.0,49.0,65.0,73.0,65.0,100.0,100.0,3376.0,3376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055768,0.0,951.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-4.9025641030000005
42.9875,6.0,2.0,1.0,1.0,8.0,88.44313725490197,8.101208791208792,25.6,6.0,-0.3286898837539558,0.047158523216484,0.0525513738744566,5751.0,1.5291272946285093,1.5360132630700272,0.0500782472613458,0.0300817249174056,0.1057207442183968,0.4044513997565641,0.0688575899843505,0.0123456790123456,0.1912710832898626,0.0970266040688575,0.0401669274908711,-127.9,-16.86,1.25247,0.5354326376407584,0.2116115859100856,1.548405042242844,112.0,48.0,150.0,1525.0,10.0,12.0,73.0,301.0,39.0,212.0,38.0,315.0,187.0,35.0,274.0,-81.0,93.0,-63.0,16.0,61.0,30.0,0.0,33.0,8.0,3.0,71.0,60.0,13.0,4.0,0.0,0.0,0.0,3.0,0.0,9.0,16.0,15.0,37.0,36.0,47.0,49.0,14.0,26.0,17.0,11.0,33.0,31.0,26.0,307.0,1643.0,0.5720000000000001,17.1,28.397,3.471,0.0,0.0,2357.0,300.0,353.0,82.0,238.0,42.0,0.0589779999999999,994.888,891.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-7.333333332
31.667905,30.0,2.0,1.0,1.0,6.7,88.44313725490197,8.101208791208792,30.0,7.0,-0.1537777883498055,0.0487729992619537,0.0524121436719286,4371.0,1.0704935811353635,1.0771003149099698,0.0340883093113704,0.0185312285518188,0.1288034774651109,0.5385495309997712,0.0251658659345687,0.0057195149851292,0.1002059025394646,0.1304049416609471,0.0185312285518188,-13.4,-2.9,3.48063,0.9537728303674672,0.3828371459196765,2.1137982554280392,342.0,130.0,55.0,26.0,6.0,5.0,191.0,174.0,175.0,1258.0,104.0,1203.0,1065.0,82.0,986.0,-14.0,90.0,-15.0,0.0,2.0,0.0,69.0,67.0,6.0,17.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,27.0,2.0,18.0,19.0,30.0,33.0,52.0,48.0,44.0,28.0,75.0,27.0,72.0,100.0,45.0,1148.0,1169.0,3.303,2866.802,63.86,81.779,0.0,7.0,2810.0,1700.0,925.0,831.0,207.0,136.0,0.04558,148582.0,921.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-7.04
33.95569,100.0,1.0,1.0,2.0,6.7,88.44313725490197,8.101208791208792,24.0,5.0,-0.3140202707163577,0.0460110251982655,0.0514218844615729,6688.0,1.5370080784196738,1.502882456269326,0.0432117224880382,0.0333433014354066,0.1214114832535885,0.4090909090909091,0.0773026315789473,0.0127093301435406,0.1644736842105263,0.1000299043062201,0.0384270334928229,-20.6,-4.31,1.0550700000000002,0.7292152136956996,0.2493153481848405,1.5237664061216971,436.0,0.0,140.0,215.0,25.0,17.0,162.0,207.0,156.0,1259.0,53.0,1344.0,980.0,100.0,998.0,-6.0,113.0,2.0,0.0,1.0,0.0,31.0,87.0,8.0,22.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,20.0,34.0,35.0,48.0,45.0,32.0,29.0,77.0,44.0,80.0,0.0,10.0,596.0,1267.0,29.903,192.422,820.398,187.446,86.0,20.0,6264.0,3800.0,5276.0,1854.0,385.0,262.0,0.04558,10313.1,921.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-6.293471809
42.47178,12.0,1.0,1.0,1.0,6.5,105.1,9.63,18.2,2.0,-0.2964434724967125,0.0450345908696951,0.0501752949780334,6692.0,1.634295112824426,1.6556902277004957,0.0434847579199043,0.0255528989838613,0.1338912133891213,0.3992827256425583,0.0684399282725642,0.0143454871488344,0.1728930065750149,0.1005678421996413,0.0415421398684997,-49.8,-8.05,0.1869819999999999,0.4971656560962752,0.3035458654055148,1.0705300685289143,690.0,0.0,548.0,279.0,54.0,176.0,72.0,269.0,72.0,1178.0,24.0,1178.0,779.0,112.0,779.0,20.0,123.0,20.0,27.0,91.0,27.0,83.0,83.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,32.0,32.0,61.0,61.0,74.0,74.0,88.0,31.0,88.0,0.0,0.0,132.0,132.0,0.256,0.256,14.043,14.041,0.0,0.0,781.0,800.0,158.0,158.0,79.0,79.0,0.067299,13.1113,954.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.825883838
39.0944,14.0,1.0,1.0,3.0,7.5,100.9,9.6,18.8,2.0,-0.4064529847883121,0.0495946705322844,0.0560488596107478,4894.0,1.7474394959027717,1.7904105049081098,0.0529219452390682,0.0396403759705762,0.0948099713935431,0.396608091540662,0.0884756845116469,0.0157335512872905,0.2204740498569677,0.0578259092766653,0.0335104209235798,-49.2,-7.9,0.149345,0.1719368348253736,0.0720405732508548,0.4380066853651977,380.0,0.0,118.0,174.0,15.0,151.0,117.0,247.0,117.0,972.0,35.0,972.0,819.0,102.0,819.0,-14.0,107.0,-14.0,4.0,23.0,4.0,22.0,22.0,43.0,43.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,42.0,42.0,35.0,35.0,27.0,27.0,77.0,44.0,77.0,100.0,100.0,4076.0,4076.0,0.8909999999999999,0.8909999999999999,59.988,59.976000000000006,0.0,0.0,2453.0,2500.0,831.0,830.0,230.0,230.0,0.0580679999999999,35.0938,950.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-13.45037594
31.185895,94.488,1.0,1.0,3.0,7.0,88.3,6.87,28.2,7.0,-0.2939510074801733,0.0486019066399533,0.0539190018035654,6002.0,1.3500137816279716,1.3250790145815572,0.0469843385538154,0.0338220593135621,0.1182939020326557,0.4093635454848384,0.0631456181272909,0.0109963345551482,0.1679440186604465,0.112962345884705,0.0364878373875374,-19.6,-3.51,2.73729,0.8985593654495028,0.27209090748494,1.968378469093928,496.0,37.0,48.0,52.0,9.0,10.0,193.0,173.0,178.0,1336.0,92.0,1243.0,1107.0,96.0,1015.0,-11.0,102.0,-12.0,0.0,0.0,0.0,10.0,52.0,27.0,26.0,4.0,4.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,34.0,34.0,48.0,47.0,32.0,28.0,75.0,42.0,74.0,100.0,60.0,2283.0,2196.0,0.0289999999999999,776.403,1.525,51.802,0.0,5.0,318.0,1300.0,177.0,581.0,87.0,123.0,0.04558,37019.5,921.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-3.183271572
39.10415,16.0,3.0,1.0,3.0,7.5,48.7,4.37,18.5,2.0,-0.4144299775478972,0.0443377714107142,0.0499617410288718,5992.0,1.901927856663357,1.8772244341621456,0.0500667556742323,0.0407209612817089,0.0822763684913217,0.4365821094793057,0.0751001335113484,0.0186915887850467,0.1865821094793057,0.0607476635514018,0.0492323097463284,-38.9,-6.01,0.127298,0.311061010496315,0.1435666202290685,0.662001637722927,173.0,0.0,326.0,379.0,30.0,60.0,121.0,291.0,121.0,866.0,117.0,866.0,735.0,100.0,735.0,-25.0,63.0,-25.0,2.0,12.0,2.0,0.0,0.0,33.0,33.0,14.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,79.0,79.0,25.0,25.0,49.0,49.0,25.0,25.0,25.0,25.0,65.0,14.0,65.0,100.0,100.0,2184.0,2184.0,0.0279999999999999,0.0279999999999999,1.287,1.286,0.0,0.0,690.0,700.0,343.0,343.0,63.0,63.0,0.051129,1.29663,934.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,-6.507142858
