Sample_Kit_ID,Sample_ID,Date,Median_Time_Unix,Median_Time_Local,Local_Timezone,Mean_DO_mg_per_L,DO_sd,Mean_DO_percent_saturation,DO_percent_saturation_sd,Mean_Temp_Deg_C,Temp_sd,Respiration_Rate_mg_per_L_per_H,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Sample_Latitude,Sample_Longitude,MiniDot_Latitude,MiniDot_Longitude,MiniDot_Start_Time,MiniDot_End_Time,MiniDot_ID,pH,Contact_First_Name,Contact_Last_Name,Organization,Email,Site_Name,Stream_Name,City,State,Weather,Intermittent_or_Perennial,General_Vegetation,Hydrogeomorphology,River_Gradient,MiniDot_Sediment,Water_Temperature,Water_Depth_cm,Depositional_Type,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,MiniDot_Notes,Additional_Sampling_Notes,Hydrograph_Online,Hydrograph_Other
CM_001,CM_001-1,4/27/2022,1651080150,10:22:30,Pacific Daylight Time (UTC-7),10.25,0.06,87.93,0.56,8.66,0.02,-12.773,1,N/A,N/A,15,2,0,8.116666667,46.7322,-117.1805,46.7322,-117.1805,9:40:00,10:50:00,421044,6.5,Philip,Moffatt,Washington State University,philip.moffatt@wsu.edu,N/A,South Fork Palouse,Pullman,Washington,Overcast,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),5.5,50,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,The sensor deployment occured on 4/27/2022,Sediment samples were from across a shoreline depositional zone which included mud to small gravel.,https://waterdata.usgs.gov/nwis/uv?site_no=13348000,N/A
CM_001,CM_001-2,4/27/2022,1651080150,10:22:30,Pacific Daylight Time (UTC-7),10.25,0.06,87.93,0.56,8.66,0.02,-13.36,1,N/A,N/A,15,2,0,8.046666667,46.7322,-117.1805,46.7322,-117.1805,9:40:00,10:50:00,421044,6.5,Philip,Moffatt,Washington State University,philip.moffatt@wsu.edu,N/A,South Fork Palouse,Pullman,Washington,Overcast,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),5.5,50,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,The sensor deployment occured on 4/27/2022,Sediment samples were from across a shoreline depositional zone which included mud to small gravel.,https://waterdata.usgs.gov/nwis/uv?site_no=13348000,N/A
CM_001,CM_001-3,4/27/2022,1651080150,10:22:30,Pacific Daylight Time (UTC-7),10.25,0.06,87.93,0.56,8.66,0.02,-12.44,1,N/A,N/A,15,2,0,6.896666667,46.7322,-117.1805,46.7322,-117.1805,9:40:00,10:50:00,421044,6.5,Philip,Moffatt,Washington State University,philip.moffatt@wsu.edu,N/A,South Fork Palouse,Pullman,Washington,Overcast,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),5.5,50,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,The sensor deployment occured on 4/27/2022,Sediment samples were from across a shoreline depositional zone which included mud to small gravel.,https://waterdata.usgs.gov/nwis/uv?site_no=13348000,N/A
CM_002,CM_002-1,5/30/2022,1653925890,11:51:30,Eastern Daylight Time (UTC-4),9.42,0.09,103.51,1.44,19.95,0.24,-22.52,1,N/A,N/A,5,2,0,5.743333333,38.7819,-77.3884,38.7819,-77.3884,11:00:00,12:28:00,232973,6.5,Karen,Knee,American University,knee@american.edu,"Clifton, VA",Pope's Head Creek,Clifton,Virginia,Sunny,Perennial,"Broadleaf deciduous tree, Grass, Crop",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),20.5,7,Shallow waters near the shore,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,"We used a meter stick (1 m long, yellow) instead of a measuring tape. When you see it in the pictures keep in mind that it is 1 m long.",https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01657394,No
CM_002,CM_002-2,5/30/2022,1653925890,11:51:30,Eastern Daylight Time (UTC-4),9.42,0.09,103.51,1.44,19.95,0.24,-44.829,1,N/A,N/A,7,2,0,6.273333333,38.7819,-77.3884,38.7819,-77.3884,11:00:00,12:28:00,232973,6.5,Karen,Knee,American University,knee@american.edu,"Clifton, VA",Pope's Head Creek,Clifton,Virginia,Sunny,Perennial,"Broadleaf deciduous tree, Grass, Crop",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),20.5,7,Shallow waters near the shore,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,"We used a meter stick (1 m long, yellow) instead of a measuring tape. When you see it in the pictures keep in mind that it is 1 m long.",https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01657394,No
CM_002,CM_002-3,5/30/2022,1653925890,11:51:30,Eastern Daylight Time (UTC-4),9.42,0.09,103.51,1.44,19.95,0.24,-29.4,1,N/A,N/A,5,2,0,4.186666667,38.7819,-77.3884,38.7819,-77.3884,11:00:00,12:28:00,232973,6.5,Karen,Knee,American University,knee@american.edu,"Clifton, VA",Pope's Head Creek,Clifton,Virginia,Sunny,Perennial,"Broadleaf deciduous tree, Grass, Crop",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),20.5,7,Shallow waters near the shore,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,"We used a meter stick (1 m long, yellow) instead of a measuring tape. When you see it in the pictures keep in mind that it is 1 m long.",https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01657394,No
CM_003,CM_003-1,5/2/2022,1651534710,19:38:30,Eastern Daylight Time (UTC-4),9.42,0.06,93.22,0.86,14.93,0.12,-1.856,0.987,0.985,0.001437229,120,8,0,9.48,40.1047,-77.1803,40.1047,-77.1803,18:45:00,20:17:00,379974,6.5,Jorden,Hayes,Dickinson College,hayesjo@dickinson.edu,N/A,Mountain Creek,Mount Holly Springs,Pennsylvania,Partly cloudy,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),15.4,24,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,"Sampling location is downstream from a former hydro-dam and large deposit of legacy sediments (Walter and Merritts, 2008). Samples were packed on 5/3/2022 at 11:25 EDT. Photographs have been reduced to accommodate upload limits. Please contact me for higher resolution images if needed.",https://waterdata.usgs.gov/monitoring-location/01571184/,N/A
CM_003,CM_003-2,5/2/2022,1651534710,19:38:30,Eastern Daylight Time (UTC-4),9.42,0.06,93.22,0.86,14.93,0.12,-2.291,0.997,0.996,0.001180142,55,5,1,8.84,40.1047,-77.1803,40.1047,-77.1803,18:45:00,20:17:00,379974,6.5,Jorden,Hayes,Dickinson College,hayesjo@dickinson.edu,N/A,Mountain Creek,Mount Holly Springs,Pennsylvania,Partly cloudy,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),15.4,24,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,"Sampling location is downstream from a former hydro-dam and large deposit of legacy sediments (Walter and Merritts, 2008). Samples were packed on 5/3/2022 at 11:25 EDT. Photographs have been reduced to accommodate upload limits. Please contact me for higher resolution images if needed.",https://waterdata.usgs.gov/monitoring-location/01571184/,N/A
CM_003,CM_003-3,5/2/2022,1651534710,19:38:30,Eastern Daylight Time (UTC-4),9.42,0.06,93.22,0.86,14.93,0.12,-2.735,0.978,0.972,0.003444908,85,6,1,N/A,40.1047,-77.1803,40.1047,-77.1803,18:45:00,20:17:00,379974,6.5,Jorden,Hayes,Dickinson College,hayesjo@dickinson.edu,N/A,Mountain Creek,Mount Holly Springs,Pennsylvania,Partly cloudy,Perennial,"Needleleaf evergreen tree, Broadleaf deciduous tree",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),15.4,24,Inside bend of stream,Partial coverage,No coverage,Partial coverage,1-3 cm as described in the protocol,N/A,"Sampling location is downstream from a former hydro-dam and large deposit of legacy sediments (Walter and Merritts, 2008). Samples were packed on 5/3/2022 at 11:25 EDT. Photographs have been reduced to accommodate upload limits. Please contact me for higher resolution images if needed.",https://waterdata.usgs.gov/monitoring-location/01571184/,N/A
CM_004,CM_004-1,5/24/2022,1653403290,10:41:30,Eastern Daylight Time (UTC-4),11.31,0.07,111.85,1.13,14.89,0.19,-1.998,0.949,0.938,0.003468652,89,7,0,8.483333333,42.7231,-73.1978,42.7231,-73.1978,9:57:00,11:11:00,449867,6.5,Jose,Constantine,Williams College,jac9@williams.edu,N/A,Hoosic River,Williamstown,Massachusetts,Sunny,Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),14,37,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Wrote the sensor number on the metadata sheet before taking the photo, but the sheet is in the box that will arrive with the samples",River width of 33.5 m; 50 ml RNAlater had leaked,https://waterdata.usgs.gov/nwis/uv?site_no=01332500,No
