Sample_ID,Sample_Longitude_avg,Sample_Latitude_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_avg,mean.error_avg,predict.error_avg,pca.dist_avg,mean.error.scaled_avg,pca.dist.scaled_avg,combined.metric_avg,Sample_Longitude_std,Sample_Latitude_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_std,mean.error_std,predict.error_std,pca.dist_std,mean.error.scaled_std,pca.dist.scaled_std,combined.metric_std,best_worst_metric
SSS004-3,-120.8161,46.6659,-2964.22888674272,251.0992235562418,965.5844405654,1.0985111516319892,0.5733021236213002,0.0775508803707667,0.0444600844052618,0.0,0.0,652.4015502274824,61.9738203471755,215.21266868986268,0.0,0.1313424237671255,0.0,0.0101857205931708,0.018847312585969674
SSS030-2,-120.6704,46.3656,-333.78618032108875,72.37568360391359,934.4631602262576,3.5652791178381227,0.1692383626297759,0.2516957009904653,0.04259656831658,0.0,0.0,228.9894459418065,16.953722726429554,210.30714023902104,0.0,0.0526926094332936,0.0,0.0132625032683296,0.021470342914400545
SSS008-3,-121.0893,46.6592,-3288.581672661587,282.5923402483647,974.6656822062628,3.589896237907644,0.6615449735562844,0.2534335798738504,0.1676577108959208,0.0,0.0,231.29775992515013,62.46774989941104,213.2497044630298,0.0,0.200553878076993,0.0,0.050827087278636,0.021836513664682703
SSS008-2,-121.0893,46.6592,-3288.581672661587,282.5923402483647,974.6656822062628,3.589896237907644,0.6615449735562844,0.2534335798738504,0.1676577108959208,0.0,0.0,231.29775992515013,62.46774989941104,213.2497044630298,0.0,0.200553878076993,0.0,0.050827087278636,0.021836513664682703
SSS008-1,-121.0893,46.6592,-3288.581672661587,282.5923402483647,974.6656822062628,3.589896237907644,0.6615449735562844,0.2534335798738504,0.1676577108959208,0.0,0.0,231.29775992515013,62.46774989941104,213.2497044630298,0.0,0.200553878076993,0.0,0.050827087278636,0.021836513664682703
SSS030-3,-120.6704,46.3656,-336.4372410360974,72.44142544785822,934.4683764372704,3.5652791178381227,0.1693608999251668,0.2516957009904653,0.0426274104270408,0.0,0.0,233.49059608744287,16.999415771348815,210.3102258689357,0.0,0.0527283152928589,0.0,0.0132714902796824,0.021892376500876738
CM_027-1,-95.28318,29.33381,-2708.94399039695,234.88655131476767,962.2855547524192,2.6436434583283583,0.544639791160851,0.1866315851916494,0.1016469875827984,0.0,0.0,315.04774593817547,67.68240610582353,212.99889593359688,0.0,0.1739280876556847,0.0,0.0324604747085326,0.02190328420386446
CM_053-2,-121.92839,45.79222,-110.57898151594608,75.13522912829174,934.6821241354172,5.668326657731654,0.1764088621536095,0.4001631862208347,0.0705923323569804,0.0,0.0,150.51156707735225,17.231819154981483,210.32389789226187,0.0,0.0564431184275619,0.0,0.022586458110213,0.02243648020879301
CM_073-2,-72.9688981,44.3676591,-181.34911397513304,78.50967566285406,934.9803133866232,2.0769060218189463,0.1821021827186741,0.1466219894082282,0.0267001843057926,0.0,0.0,426.8861395826153,21.013690727287845,210.5644708405928,0.0,0.0556733275900622,0.0,0.0081629340482309,0.023316259419401124
S19S_0009-D,-108.39830000000002,42.9877,-361.0679946802264,74.1584910206989,934.6066191308022,2.822500549105727,0.1748497579203698,0.1992582434005647,0.0348402556222268,0.0,0.0,321.6656920165918,17.520019887447795,210.33534485712232,0.0,0.0615820692806466,0.0,0.0122707349498335,0.02387639510036964
S19S_0009-M,-108.39830000000002,42.9876,-361.2612021382098,74.16270022762089,934.6069693281212,2.822500549105727,0.1748608162289334,0.1992582434005647,0.0348424590813661,0.0,0.0,321.8965542875817,17.522392630737233,210.33546253420408,0.0,0.0615966239820805,0.0,0.0122736350940744,0.023893531397254048
S19S_0009-U,-108.3982,42.9875,-370.494063407952,74.30218352466137,934.6187532574216,2.822500549105727,0.1752355969233667,0.1992582434005647,0.0349171372241994,0.0,0.0,330.1462845317876,17.615494347261688,210.33975670350907,0.0,0.0621845209843197,0.0,0.0123907784180411,0.02450588709346541
SSS004-2,-120.8161,46.6659,-2735.4374760835863,233.0795833995247,961.7883510317972,1.0985111516319892,0.5180166322348052,0.0775508803707667,0.0401726458765087,0.0,0.0,859.756519279144,72.34734985741761,214.81423876224656,0.0,0.1197261244409185,0.0,0.0092848663537732,0.02483761704893124
CM_086-5,-121.433908,38.257823,-689.9690397221597,78.39958844198485,934.9598462676722,5.045818414636911,0.1822793300229289,0.356216374922346,0.0649308821640416,0.0,0.0,187.36676305883685,17.95822331295972,210.3369932410688,0.0,0.0509392914874972,0.0,0.018145409754789,0.0248630355220495
