RA_SO,RA_dm,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,pre_mm_cyr,pre_mm_cdi,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,ppd_pk_cav,Temp_water,pH,DO_mgL,DOSAT,RA_ms_av,RA_ms_di
3,0.730833,675,0,68,177,30,49,34,309,969,46,49,11,0,1,0,0,180.4,8.11818181818,7.22363636364,NaN,88.60204081629999,0.40532715691951365,1.1863233861058935
5,1.95002,678,46,133,154,33,8,40,303,935,45,3,30,1,2,0,0,141.39600000000002,8.14646464646,7.06666666667,NaN,86.2948717949,1.0525568719482192,0.9647833419550741
5,2.1802599999999996,688,39,85,131,27,5,41,302,950,41,14,24,1,3,0,0,118.867,10.0,7.775,NaN,97.25,0.9682497310327532,1.12789089232412
5,1.6257700000000002,695,623,113,40,21,31,60,256,1105,46,48,3,0,0,0,0,302.711,9.92613636364,6.67897727273,NaN,80.0147058824,1.0857053974179498,0.8357910982849256
4,0.8866809999999999,880,0,140,33,18,26,65,259,1232,59,78,1,0,0,0,0,27.735,10.0882352941,6.382352941180001,NaN,92.67857142860001,0.9601370829054646,0.7723285535773934
6,2.55183,752,311,49,56,9,11,54,290,1053,41,93,0,0,0,0,0,43.537,9.51470588235,6.625,NaN,85.68888888890001,1.4187004968505084,0.7369238924807188
6,3.01295,790,216,156,43,26,9,64,277,1057,34,100,7,0,0,0,0,132.67700000000002,9.91379310345,6.90459770115,NaN,98.17391304350001,1.4416233274941892,0.8560810027877935
5,2.0198400000000003,779,750,306,158,63,8,52,291,1048,42,100,1,0,0,0,0,85.304,8.432692307689999,6.625,NaN,88.1590909091,1.2946049840933191,0.7127897288289652
6,2.90565,850,373,251,57,36,7,71,281,1067,42,100,13,1,0,0,0,32.492,10.1526315789,7.088090225560001,NaN,96.3709026549,1.1312296771924308,1.1086327731815644
3,0.886238,1160,0,335,344,116,81,52,285,1120,41,100,0,0,0,0,0,2.043,7.53048780488,6.46932515337,NaN,98.1829268293,0.5607581293131203,1.192695866403505
5,3.34358,882,125,166,68,28,3,73,276,1141,38,27,4,0,0,0,0,1312.4679999999998,10.852941176500002,6.66764705882,NaN,91.2,0.7587894045245914,1.8063263172585957
5,3.26879,910,122,79,22,13,15,76,266,1141,44,49,5,0,0,0,0,392.621,10.015037593999999,6.88863636364,NaN,96.75,0.7896946116732847,1.7619017121386789
4,1.5403,903,340,200,48,21,9,76,266,1148,46,57,1,0,0,0,0,350.85699999999997,10.720720720700001,7.07927927928,NaN,94.0,0.7631209039659743,1.2202288258626288
5,2.3429,927,25,282,135,35,20,68,274,1180,43,100,3,0,0,0,0,44.786,9.734567901230001,6.567283950619999,NaN,94.9366197183,0.7881694289105693,1.5012917272329112
2,0.375311,857,0,118,121,17,31,75,269,1172,44,100,2,0,0,0,0,59.242,11.1,6.62,NaN,119.4925,0.5490442932366136,0.8882627419242031
2,0.448657,861,0,37,63,14,50,80,266,1152,49,100,6,0,0,0,0,63.566,12.65,6.85,NaN,113.38600000000001,0.5202525434794069,0.8795228112290207
2,0.4138,766,598,241,127,28,63,75,268,1113,38,100,2,1,0,0,0,34.323,10.95,6.33,NaN,84.2725,0.5625317000445721,0.7965356654319661
2,0.439705,817,0,86,35,18,28,81,264,1113,45,42,6,1,0,0,0,284.827,12.5,6.815,NaN,95.007,0.6792302271930191,1.0576171277988886
2,0.428899,733,0,312,110,35,20,78,268,1084,37,100,0,1,0,0,0,42.489,10.9,6.36,NaN,88.48299999999999,0.59542723760368,0.8338951038359768
2,0.40813499999999997,764,0,186,89,25,42,79,266,1107,38,100,0,1,0,0,0,55.698,13.3,6.55,NaN,103.648,0.6181748434910842,0.8955045545588036
6,2.18457,681,204,108,92,17,5,75,274,1004,33,38,3,0,0,0,0,749.551,13.4259259259,6.148148148150001,NaN,97.4444444444,1.0826118925072936,1.0205244973632819
2,0.45483500000000004,713,0,371,203,60,109,71,271,1089,35,100,1,1,0,0,0,57.53,13.05,6.49,NaN,96.773,0.5931659601558199,0.8134558738082366
2,0.354066,682,0,299,142,34,82,76,271,1060,34,77,2,1,0,0,0,244.748,18.0285714286,6.72142857143,NaN,97.57414285709999,0.6239180611656088,0.8449427087626742
2,0.466157,685,0,149,80,15,17,81,270,1064,32,100,0,2,0,0,0,257.212,14.7,6.67,NaN,81.921,0.5909749003830926,0.8651616292329178
1,0.172096,700,0,115,68,16,46,83,269,1079,32,40,9,0,0,0,0,519.79,15.15,7.2,NaN,95.986,0.47414758412182967,0.6945999664072559
3,0.378861,728,0,305,177,28,14,81,263,1171,26,100,10,1,0,0,0,84.12899999999999,10.0111111111,6.53842105263,NaN,87.2186428571,0.5704233550206309,0.8197410459054986
2,0.461471,744,0,100,65,21,34,88,266,1103,29,35,1,0,0,0,0,545.047,19.9,7.385714285710001,NaN,97.86042857139999,0.6384604795336628,0.9265984059849145
6,2.5287,750,181,71,44,15,12,90,266,1092,31,0,1,0,0,0,0,2188.511,11.7774725275,6.706214689269999,NaN,93.3130434783,1.1395899833889638,1.1324560901057588
2,0.504008,771,0,105,92,24,82,88,260,1152,27,100,5,0,0,0,0,568.314,17.1875,7.32125,NaN,93.80725,0.6106998958076114,0.8654593197983605
2,0.45803299999999997,771,0,33,72,16,8,88,259,1117,28,62,2,1,0,0,0,209.247,15.65,6.75,NaN,87.198,0.5836659203737955,0.8546675751971188
2,0.355462,772,0,47,68,17,36,88,259,1116,30,85,2,1,0,0,0,454.35900000000004,15.0,6.9,NaN,97.353,0.5546356720019913,0.8311418460439597
