,target,predicted
0,-4.86,-30.62707918752338
1,-20.56,-69.19825805524059
2,-20.44,-52.337028865037794
3,-3105.59,-3528.033454917789
4,-33.18,-82.42442028195126
5,-8.09,-31.76855259122116
6,-2.41,-24.921370374911227
7,-29.48,-96.2142342856808
8,-42.7,-96.99486155592092
9,-1.23,-42.932266376076356
10,-436.09,-279.04895978141843
11,-1.8,-60.61510499525298
12,-0.52,-23.370077755077897
13,-9.74,-62.55658947734797
14,-0.51,-23.370077755077897
15,-2.89,-49.31590131584457
16,-77.62,-94.50028417033681
17,-26.52,-57.06576870707495
18,-9.12,-107.36217313341578
19,-47.48,-73.41945430696887
20,-3827.24,-3268.067840725066
21,-2.31,-32.354887394972735
22,-15.34,-55.83692390307115
23,-3048.94,-2795.323876868677
24,-1413.77,-69.61842709532617
25,-13.69,-78.47079344409823
26,-6.33,-32.07767695620285
27,-7.18,-49.924952729784636
28,-21.96,-40.69213695588796
29,-3824.62,-3473.0140985446083
30,-3049.36,-2224.238652344289
31,-2.54,-32.96836746961054
32,-43.06,-68.82291287005728
33,-2.37,-35.81777687048806
34,-5.29,-25.86568704654375
35,-37.43,-93.22512582764071
36,-9.82,-64.01295350687977
37,-1.16,-21.730931696983653
38,-10.78,-39.756255120889506
39,-2.15,-22.353254609096375
40,-8.92,-162.03830340542072
41,-347.97,-360.2139163781089
42,-2.26,-29.241902616763127
43,-29.9,-57.92415465282784
44,-1.11,-20.96794196110686
45,-14.92,-60.15372695081318
46,-8.93,-41.50423769859784
47,-3.79,-58.03411676703389
48,-91.7,-147.83213981240897
49,-47.2,-76.7934461692294
50,-3664.98,-2916.6939468059363
51,-3.65,-60.75543839985608
52,-18.6,-39.210630268569865
53,-45.06,-75.62246049285062
54,-3.47,-24.921370374911227
55,-32.54,-109.55126290823132
56,-5.53,-65.85887127048588
57,-2228.76,-2278.375655461409
58,-13.24,-62.55658947734797
59,-3.01,-29.241902616763127
60,-2199.18,-2857.845230974731
61,-31.41,-96.2142342856808
62,-4.29,-27.809023940174512
63,-6.74,-31.144719227146474
64,-161.32,-215.06748185593597
65,-1.29,-21.771115506867933
66,-25.16,-57.06576870707495
67,-4.29,-41.50423769859784
68,-3631.26,-3503.8337385126506
69,-8.97,-64.01295350687977
70,-35.52,-77.62109280671676
71,-8.65,-41.121832172206844
72,-3.3,-25.726820801617258
73,-1622.5,-1613.7468556769727
74,-10.57,-51.27339942037285
75,-61.3,-110.864175889676
76,-1.25,-28.168673547200292
77,-42.31,-141.6485551220087
78,-139.47,-105.48002278628027
79,-3.77,-30.43167079722276
80,-2.76,-27.93074535105894
81,-3.47,-25.983534655443865
82,-10.78,-34.03848763768633
83,-2.2,-32.286167273906806
84,-10.64,-33.819230893553865
85,-0.94,-21.088614929772238
86,-33.5,-88.19725008414113
87,-2741.44,-1882.0508725447405
88,-19.64,-78.1730056518827
89,-3.29,-34.25121684343057
90,-21.29,-74.64346772740117
91,-78.34,-86.18881445065738
92,-3.6,-352.2313034198015
93,-43.87,-86.18881445065738
94,-5.71,-68.3320777988309
95,-1482.57,-1813.868790369018
96,-29.12,-125.14258007891563
97,-6.65,-32.656538868077874
98,-4.57,-32.96836746961054
99,-5.02,-42.304900078792286
100,-2907.84,-2495.729258819667
101,-7.46,-33.819230893553865
102,-3.73,-58.58221355582259
103,-15.42,-57.91006999401347
104,-98.57,-82.42442028195126
105,-4.24,-24.921370374911227
106,-30.43,-60.47074559493653
107,-41.12,-293.57411058029805
108,-203.87,-279.04895978141843
109,-46.59,-109.55126290823132
110,-7.22,-37.520066905976165
111,-1.38,-63.262025126126176
112,-15.8,-43.54784196578572
113,-1.78,-37.21164665540978
114,-12.89,-67.6772507628501
115,-2084.19,-1684.653707330091
116,-4.77,-60.34088447935791
117,-31.82,-65.69303881814885
118,-54.1,-120.39666010257586
119,-11.29,-42.097436839450225
120,-3601.52,-3528.033454917789
121,-3.11,-30.315973693494634
122,-8.08,-38.440856412130486
123,-76.63,-117.57424288593143
124,-21.22,-36.712817300904035
125,-33.13,-65.01571999298628
126,-21.63,-35.81777687048806
127,-93.9,-112.64323977648358
128,-5.97,-24.99790681576745
129,-1.27,-22.037391438959414
130,-22.89,-88.19725008414113
131,-33.64,-235.03084391547418
132,-9.31,-30.142301112732724
133,-5.3,-38.23410932970448
134,-47.08,-110.864175889676
135,-12.9,-36.93243976288664
136,-35.91,-69.43249623197089
137,-70.85,-74.64346772740117
138,-3263.52,-2795.323876868677
139,-8.68,-64.01295350687977
140,-21.45,-51.938850194077375
141,-3.21,-57.09328979547658
142,-9.11,-49.924952729784636
143,-54.61,-86.8965131672673
144,-991.01,-77.62109280671676
145,-6.16,-31.575912260246575
146,-19.51,-89.73504853128333
147,-42.8,-75.64195188834893
148,-4.84,-32.354887394972735
149,-6.87,-31.055017002485336
150,-4.09,-25.86568704654375
151,-3.76,-26.56463612156912
152,-3.81,-27.809023940174512
153,-49.64,-86.8965131672673
154,-2.85,-52.52439150294401
155,-4.7,-54.04592273492274
156,-10.77,-56.96501008491067
157,-6.64,-71.69506472534928
158,-1953.6,-1839.4457906791135
159,-79.25,-87.83098734109157
160,-3685.4,-3503.8337385126506
161,-35.0,-93.22512582764071
162,-15.99,-49.88772889176128
163,-114.34,-560.581460887321
164,-1.01,-20.96794196110686
165,-35.93,-65.01571999298628
166,-17.66,-64.68302410926321
167,-0.99,-21.303199832327365
168,-2718.25,-2278.375655461409
169,-128.32,-225.6641835662537
170,-1.84,-21.771115506867933
171,-46.77,-69.9042460944977
172,-13.59,-162.03830340542072
173,-2.7,-23.811599613984345
174,-4.12,-36.77457170433926
175,-1776.15,-2048.7344820431126
176,-1.16,-60.61510499525298
177,-6.14,-31.76855259122116
178,-24.5,-52.93660967309775
179,-57.78,-105.48002278628027
180,-3.14,-34.64536006290711
181,-16.97,-78.1730056518827
182,-47.31,-93.70228040572246
183,-3.59,-34.03848763768633
184,-35.76,-57.09328979547658
185,-0.5,-27.13038485108609
186,-1.4,-21.303199832327365
187,-6.68,-36.93243976288664
188,-16.21,-62.55658947734797
189,-27.46,-42.583355878462726
190,-1.63,-34.25121684343057
191,-173.48,-279.04895978141843
192,-5.59,-32.656538868077874
193,-10.54,-28.664815409220708
194,-6.7,-31.575912260246575
195,-3855.6,-3528.033454917789
196,-1.64,-63.04121926637396
197,-1.32,-22.167300045103318
198,-8.79,-50.11360413300288
199,-31.19,-94.15957382505236
200,-23.85,-114.96650907420613
201,-16.99,-60.75543839985608
202,-1.94,-22.353254609096375
203,-26.32,-43.54784196578572
204,-0.71,-21.487766504796546
205,-95.54,-116.4236702306843
206,-17.33,-52.93660967309775
207,-41.53,-141.6485551220087
208,-2.13,-37.21164665540978
209,-1599.21,-2224.238652344289
210,-3.46,-29.85343442136694
211,-5.69,-71.69506472534928
212,-124.31,-116.4236702306843
213,-5.01,-25.86568704654375
214,-56.24,-76.7934461692294
215,-2965.18,-2795.323876868677
216,-1713.76,-1684.653707330091
217,-24.29,-110.864175889676
218,-3.78,-29.338628607503594
219,-1.45,-24.666555793922814
220,-56.1,-120.39666010257586
221,-2.02,-29.3036317419523
222,-0.86,-63.04121926637396
223,-9.45,-58.87362331472198
224,-1806.3,-1882.0508725447405
225,-47.16,-82.81552612818979
226,-5.64,-30.315973693494634
227,-1.31,-42.932266376076356
228,-8.82,-50.11360413300288
229,-127.36,-560.581460887321
230,-2.11,-24.034225860370803
231,-6.39,-45.08860179555353
232,-16.74,-60.12280510030577
233,-4.13,-54.04592273492274
234,-3.56,-30.43167079722276
235,-4.01,-27.0402019973206
236,-3.09,-40.69213695588796
237,-1.17,-28.051391383084095
238,-20.32,-57.09328979547658
239,-4.15,-68.3320777988309
240,-47.19,-34.64536006290711
241,-7.5,-31.42453345192944
242,-14.63,-114.96650907420613
243,-1.72,-40.69213695588796
244,-64.33,-91.86128779771457
245,-42.42,-111.52293598474398
246,-5.02,-31.144719227146474
247,-1752.9,-107.36217313341578
248,-469.44,-267.012993104536
249,-3.28,-73.41945430696887
250,-4.26,-27.809023940174512
251,-7.48,-50.76628415690183
252,-5.57,-41.50423769859784
253,-3.91,-35.84735565459624
254,-39.93,-117.57424288593143
255,-11.18,-32.18041378312362
256,-0.61,-21.487766509221927
257,-8.99,-24.666555649824588
258,-2.02,-42.147928268437056
259,-42.78,-293.57411058029805
260,-0.68,-20.96794196110686
261,-1.22,-22.037391438959414
262,-2.7,-26.88208448647415
263,-3.07,-60.15372695081318
264,-1906.69,-1769.1534323943365
265,-988.01,-1687.396186922203
266,-88.98,-82.42442028195126
267,-6.95,-32.07767695620285
268,-4001.81,-4049.12835019431
269,-19.2,-71.90945354598914
270,-59.89,-87.87445117797039
271,-43.36,-116.48855030152086
272,-9.44,-30.142301112732724
273,-23.78,-67.59193371175428
274,-1.68,-35.81777687048806
275,-1939.15,-1839.4457906791135
276,-1842.39,-2048.7344820431126
277,-5.14,-25.1236174903571
278,-2448.32,-2495.729258819667
279,-5.0,-49.31590131584457
280,-1841.16,-1786.66077834107
281,-5.17,-35.84735565459624
282,-3.53,-26.48564364849833
283,-16.87,-67.6772507628501
284,-47.82,-141.6485551220087
285,-26.93,-132.88076025301172
286,-1671.03,-80.6425536245502
287,-3.04,-25.726820801617258
288,-4.3,-30.43125060207191
289,-8.2,-31.575912260246575
290,-2128.42,-1613.7468556769727
291,-11.78,-31.055017002485336
292,-73.45,-114.96650907420613
293,-1890.34,-132.88076025301172
294,-93.27,-116.4236702306843
295,-30.01,-293.57411058029805
296,-38.08,-77.62109280671676
297,-4.03,-30.62707918752338
298,-167.81,-215.06748185593597
299,-0.37,-21.8732365021057
300,-2.54,-33.552672072042185
301,-4.6,-32.18041378312362
302,-29.33,-101.18199580747579
303,-27.73,-65.69303881814885
304,-11.39,-35.82752322009733
305,-58.67,-125.14258007891563
306,-5.14,-31.144719227146474
307,-2.5,-25.726820801617258
308,-0.77,-21.8732365021057
309,-5.6,-25.1236174903571
310,-55.85,-120.39666010257586
311,-13.12,-54.21900463292294
312,-22.3,-49.88772889176128
313,-260.35,-360.2139163781089
314,-7.29,-41.63952690534892
315,-8.33,-67.83923010303386
316,-53.44,-86.18881445065738
317,-8.59,-32.07767695620285
318,-15.64,-54.21900463292294
319,-22.8,-58.5643692213865
320,-10.77,-67.83923010303386
321,-1.15,-21.771115506867933
322,-22.17,-64.31987698788714
323,-2756.74,-2916.6939468059363
324,-4.16,-71.69506472534928
325,-5.3,-42.304900078792286
326,-10.77,-74.64346772740117
327,-209.54,-225.6641835662537
328,-2.8,-23.811599613984345
329,-6.06,-28.168673547200292
330,-2.71,-25.282731556234946
331,-45.05,-75.62246049285062
332,-16.39,-49.924952729784636
333,-5.14,-49.31590131584457
334,-3860.77,-3950.7653929935313
335,-9.54,-45.08860179555353
336,-3.22,-33.70050500646521
337,-2196.81,-2857.845230974731
338,-65.41,-64.31987698788714
339,-16.93,-54.21900463292294
340,-1531.16,-125.14258007891563
341,-31.44,-89.08410411101426
342,-3.66,-27.0402019973206
343,-35.25,-115.324582567069
344,-8.66,-45.60104727545914
345,-19.87,-69.61842709532617
346,-1.78,-63.04121926637396
347,-2.66,-26.48564364849833
348,-694.32,-659.1512602376316
349,-3.16,-24.99790681576745
350,-3.35,-30.43167079722276
351,-5.88,-35.3357210357036
352,-3.65,-36.712817300904035
353,-44.74,-93.70228040572246
354,-33.71,-403.44077531669393
355,-1740.84,-1684.653707330091
356,-132.3,-267.012993104536
357,-2.56,-60.61510499525298
358,-9.63,-42.097436839450225
359,-1388.85,-51.19894033691451
360,-3.51,-32.96836746961054
361,-2.43,-22.99189149574122
362,-82.28,-123.09733037650645
363,-1.77,-30.421814454097966
364,-10.1,-67.83923010303386
365,-9.42,-30.142301112732724
366,-1739.12,-1786.66077834107
367,-17.98,-30.315973693494634
368,-28.74,-57.92415465282784
369,-19.26,-94.15957382505236
370,-4.31,-36.77457170433926
371,-8.47,-51.27339942037285
372,-22.83,-93.22512582764071
373,-3555.34,-3503.8337385126506
374,-4.97,-35.84735565459624
375,-11.12,-80.6425536245502
376,-5.13,-29.338628607503594
377,-14.69,-41.01170007915367
378,-326.59,-267.012993104536
379,-55.84,-105.48002278628027
380,-2936.54,-2127.6098579286454
381,-3840.88,-3950.7653929935313
382,-3.32,-22.60594225373116
383,-3.26,-26.56463612156912
384,-3.94,-30.421814454097966
385,-25.35,-39.756255120889506
386,-2.02,-24.034225860370803
387,-2.5,-33.552672072042185
388,-7.37,-41.63952690534892
389,-1.58,-21.730931696983653
390,-35.1,-67.59193371175428
391,-0.87,-21.8732365021057
392,-44.62,-116.48855030152086
393,-1941.4,-1884.4311670871111
394,-669.87,-659.1512602376316
395,-8.26,-52.52439150294401
396,-19.66,-65.69303881814885
397,-2.32,-22.99189149574122
398,-2260.74,-1687.396186922203
399,-12.16,-63.262025126126176
400,-3.43,-25.983534655443865
401,-4.55,-50.76628415690183
402,-3.29,-29.338628607503594
403,-4.1,-30.43125060207191
404,-2420.08,-2075.1032288360857
405,-22.66,-60.47074559493653
406,-38.69,-62.63794659153139
407,-13.61,-69.43249623197089
408,-49.18,-96.99486155592092
409,-1.29,-42.14792838631446
410,-3890.98,-3473.0140985446083
411,-54.98,-93.70228040572246
412,-10.36,-38.58649010695945
413,-2289.87,-2278.375655461409
414,-2.39,-30.727800069386788
415,-3.18,-75.64195188834893
416,-5.77,-60.75543839985608
417,-1011.81,-1769.1534323943365
418,-0.73,-23.370077755077897
419,-5.38,-60.34088447935791
420,-14.33,-40.08472201207772
421,-11.55,-41.95977148559055
422,-2.16,-70.87622000946652
423,-14.81,-42.097436839450225
424,-3657.26,-2857.845230974731
425,-54.03,-123.09733037650645
426,-7.12,-32.00425340683959
427,-52.27,-60.15372695081318
428,-56.28,-109.55126290823132
429,-1691.56,-2127.6098579286454
430,-11.67,-57.91006999401347
431,-13.97,-56.96501008491067
432,-3.73,-30.727800069386788
433,-42.76,-69.61842709532617
434,-1788.7,-1882.0508725447405
435,-0.75,-38.29865258115992
436,-40.96,-41.121832172206844
437,-1575.97,-73.41945430696887
438,-43.22,-58.03411676703389
439,-13.09,-75.64195188834893
440,-82.62,-64.68302410926321
441,-10.71,-87.83098734109157
442,-2.21,-34.31703695781168
443,-11.61,-35.82752322009733
444,-5.86,-26.88208448647415
445,-2719.07,-2916.6939468059363
446,-2727.43,-235.03084391547418
447,-19.99,-56.96501008491067
448,-34.83,-58.77572711801134
449,-74.17,-110.89572001124466
450,-1821.88,-1687.396186922203
451,-2420.28,-2840.908101111939
452,-5.81,-65.85887127048588
453,-1.67,-42.14792838631446
454,-4.79,-45.08860179555353
455,-4.02,-30.43125060207191
456,-4.62,-24.666555793922814
457,-12.93,-57.92415465282784
458,-2757.22,-2840.908101111939
459,-4.99,-29.85343442136694
460,-12.45,-67.6772507628501
461,-50.95,-55.83692390307115
462,-2.05,-29.241902616763127
463,-6.45,-36.93243976288664
464,-6.18,-32.00425340683959
465,-3.97,-58.03411676703389
466,-33.1,-58.5643692213865
467,-4007.87,-4049.12835019431
468,-49.41,-69.19825805524059
469,-5.69,-54.240052439274194
470,-2236.81,-3268.067840725066
471,-3800.03,-3268.067840725066
472,-2.58,-30.727800069386788
473,-50.32,-94.15957382505236
474,-2675.86,-2495.729258819667
475,-40.73,-58.5643692213865
476,-2738.74,-1813.868790369018
477,-2785.54,-1769.1534323943365
478,-2.74,-28.168673547200292
479,-19.4,-101.18199580747579
480,-70.02,-560.581460887321
481,-8.0,-42.583355878462726
482,-0.74,-22.167300045103318
483,-3.41,-27.0402019973206
484,-6.06,-29.3036317419523
485,-4.81,-51.19894033691451
486,-3.54,-23.811599613984345
487,-29.64,-117.57424288593143
488,-1694.52,-80.6425536245502
489,-1590.24,-1613.7468556769727
490,-8.56,-352.17693217800996
491,-22.07,-57.91006999401347
492,-97.9,-403.44077531669393
493,-6.94,-37.21164665540978
494,-16.41,-38.58649010695945
495,-41.22,-60.12280510030577
496,-2086.43,-64.07856528074092
497,-1.55,-22.60594225373116
498,-11.46,-40.08472201207772
499,-4.28,-41.121832172206844
500,-4.16,-54.04592273492274
501,-167.92,-216.48125814438467
502,-17.87,-37.520066905976165
503,-9.84,-37.520066905976165
504,-31.64,-60.47074559493653
505,-110.45,-87.83098734109157
506,-1918.37,-1786.66077834107
507,-42.03,-57.06576870707495
508,-9.01,-27.816652482755195
509,-12.66,-37.97256890052816
510,-2.71,-64.07856528074092
511,-165.39,-225.6641835662537
512,-4.84,-60.12280510030577
513,-1.98,-22.99189149574122
514,-51.65,-87.87445117797039
515,-3019.19,-2757.453027694954
516,-47.58,-116.48854655330959
