,Sample_ID,gid,Sample_Longitude,Sample_Latitude
0,CM_001-1,0,-117.180494,46.732215
1,CM_001-2,0,-117.180494,46.732215
2,CM_001-3,0,-117.180494,46.732215
3,CM_002-1,1,-77.388447,38.7819267
4,CM_002-2,1,-77.388447,38.7819267
5,CM_003-1,2,-77.1803039,40.1046605
6,CM_003-2,2,-77.1803039,40.1046605
7,CM_003-3,2,-77.1803039,40.1046605
8,CM_004-1,3,-73.19778,42.72306
9,CM_004-2,3,-73.19778,42.72306
10,CM_004-3,3,-73.19778,42.72306
11,CM_005-1,4,-122.58061,48.81862
12,CM_005-2,4,-122.58061,48.81862
13,CM_005-3,4,-122.58061,48.81862
14,CM_006-1,5,-119.8217832,38.9745676
15,CM_006-2,5,-119.8217832,38.9745676
16,CM_006-3,5,-119.8217832,38.9745676
17,CM_007-1,6,-121.580361,39.007299
18,CM_007-2,6,-121.580361,39.007299
19,CM_007-3,6,-121.580361,39.007299
20,CM_008-1,7,-117.611779,33.94849
21,CM_008-2,7,-117.611779,33.94849
22,CM_008-3,7,-117.611779,33.94849
23,CM_010-1,8,-79.8466751,33.666607
24,CM_010-2,8,-79.8466751,33.666607
25,CM_010-3,8,-79.8466751,33.666607
26,CM_011-1,9,-73.506215,42.505483
27,CM_011-2,9,-73.506215,42.505483
28,CM_011-3,9,-73.506215,42.505483
29,CM_012-1,10,-73.33724,42.763802
30,CM_012-2,10,-73.33724,42.763802
31,CM_012-3,10,-73.33724,42.763802
32,CM_013-1,11,-83.1577589,41.309341
33,CM_013-2,11,-83.1577589,41.309341
34,CM_013-3,11,-83.1577589,41.309341
35,CM_014-1,12,-77.4402867,35.3667814
36,CM_014-2,12,-77.4402867,35.3667814
37,CM_014-3,12,-77.4402867,35.3667814
38,CM_015-1,13,-106.046835,39.480297
39,CM_015-2,13,-106.046835,39.480297
40,CM_015-3,13,-106.046835,39.480297
41,CM_016-1,14,-83.96496,43.40991
42,CM_016-2,14,-83.96496,43.40991
43,CM_016-3,14,-83.96496,43.40991
44,CM_017-1,15,-110.5660089,45.597409
45,CM_017-2,15,-110.5660089,45.597409
46,CM_017-3,15,-110.5660089,45.597409
47,CM_018-1,16,-102.126046,41.316592
48,CM_018-2,16,-102.126046,41.316592
49,CM_018-3,16,-102.126046,41.316592
50,CM_020-1,17,-79.04489,33.82767
51,CM_020-2,17,-79.04489,33.82767
52,CM_020-3,17,-79.04489,33.82767
53,CM_021-1,18,-111.0953268,32.3504894
54,CM_021-2,18,-111.0953268,32.3504894
55,CM_021-3,18,-111.0953268,32.3504894
56,CM_022-1,19,-123.2497244,44.550507
57,CM_022-2,19,-123.2497244,44.550507
58,CM_022-3,19,-123.2497244,44.550507
59,CM_023-1,20,-123.27687,44.55596
60,CM_023-2,20,-123.27687,44.55596
61,CM_023-3,20,-123.27687,44.55596
62,CM_024-1,21,-84.41527,33.68401
63,CM_024-2,21,-84.41527,33.68401
64,CM_024-3,21,-84.41527,33.68401
65,CM_027-1,22,-95.28318,29.33381
66,CM_027-2,22,-95.28318,29.33381
