Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
MP-100296,-75.1729853127,41.477361937,-468.789968234,214.751695015,1981.62937135,0.0516286276257,0.126314524238,0.00350391253075,0.000442595044293
MP-100600,-77.4307825305,38.5686260993,-433.829577626,200.032921323,1979.82877231,0.0577069661302,0.116967332239,0.00391643495157,0.000458094948171
MP-101096,-79.5889140431,40.6024169556,-449.894691941,217.979684115,1982.20462179,0.0779661683326,0.128780565698,0.0052913789647,0.000681426776394
MP-100025,-71.514167281,42.8933420742,-378.785513803,202.271392777,1980.09441633,0.0884473698715,0.117656364814,0.00600271325923,0.0007062574211
MP-101234,-82.2389713643,36.5354166411,-506.577655708,214.021712553,1981.51421283,0.0905994238642,0.124425538062,0.00614876806058,0.000765063774356
MP-101317,-86.1351997157,35.422818282,-504.466687026,213.065250247,1981.28613353,0.0986951867787,0.121520919789,0.00669820829222,0.00081397243261
MP-100046,-71.7109029692,42.2303806253,-454.708481067,208.25562023,1980.97066038,0.0986618840788,0.122775606892,0.00669594811695,0.000822099093779
MP-101264,-83.1767086079,36.618893891,-533.896954051,215.296551411,1981.56431712,0.101104078778,0.123882190919,0.00686169408005,0.000850041696049
MP-101109,-80.2059299151,40.0234068447,-420.988912444,215.179133692,1981.529589,0.10033058839,0.127879863645,0.00680919912155,0.000870759455196
MP-103191,-79.1226984845,35.77278906,-487.153132221,208.126772879,1980.80314196,0.104625706841,0.123488356042,0.00710069862589,0.000876853600063
MP-102141,-91.0062332217,37.477176391,-529.457421101,225.76829514,1983.15954035,0.101223280439,0.135179765623,0.00686978401412,0.000928655792907
MP-103111,-73.9140263065,41.8001016617,-449.289121478,214.442650665,1981.5911067,0.108085624468,0.127010181758,0.0073355150308,0.000931685097352
MP-101107,-79.9725965438,39.760747745,-249.816476175,236.859942195,1984.71535669,0.101387964084,0.135748671648,0.00688096070256,0.000934081275036
