,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
run_mm_cyr,4.198854514421214,3.176874603639757,3.900623926290003,3.1082417170252894,2.452200272147876,5.230102898784948,2.989963535804117,3.5973113247700392,2.3038906869116453,2.5976184983466952
pre_mm_cyr,4.198854514421214,3.176874603639757,3.900623926290003,3.1082417170252894,2.452200272147876,5.230102898784948,2.989963535804117,3.5973113247700392,2.3038906869116453,2.5976184983466952
pre_mm_cdi,4.198854514421214,3.176874603639757,3.900623926290003,3.1082417170252894,2.452200272147876,5.230102898784948,2.989963535804117,3.5973113247700392,2.3038906869116453,2.5976184983466952
tmp_dc_cdi,4.198854514421214,3.176874603639757,3.900623926290003,3.1082417170252894,2.452200272147876,5.230102898784948,2.989963535804117,3.5973113247700392,2.3038906869116453,2.5976184983466952
RA_dm,5.011826974955437,3.67336406596568,4.656876550706245,3.9116038565400353,3.5528137349243694,5.791087533767999,3.497052237903491,4.407441921989733,3.5598235050213125,3.105460417210577
RA_SO,5.011826974955437,3.67336406596568,4.656876550706245,3.9116038565400353,3.5528137349243694,5.791087533767999,3.497052237903491,4.407441921989733,3.5598235050213125,3.105460417210577
RA_ms_av,5.011826974955437,3.67336406596568,4.656876550706245,3.9116038565400353,3.5528137349243694,5.791087533767999,3.497052237903491,4.407441921989733,3.5598235050213125,3.105460417210577
RA_ms_di,5.011826974955437,3.67336406596568,4.656876550706245,3.9116038565400353,3.5528137349243694,5.791087533767999,3.497052237903491,4.407441921989733,3.5598235050213125,3.105460417210577
Mean_DO_mg_per_L,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
Mean_DO_percent_saturation,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
gwt_cm_cav,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
slp_dg_cav,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
ele_mt_cav,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
tmp_dc_cyr,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
Mean_Temp_Deg_C,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
ire_pc_cse,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
crp_pc_cse,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
for_pc_cse,7.95892095922884,6.215799294602987,8.120176114317655,7.030254494102526,6.160915026722093,8.397191559726709,5.550361946987737,7.382943763221845,6.340709426923123,5.096310014981458
ppd_pk_cav,1.677990976579156,1.52628027766612,1.7586396869603311,1.2827332735974044,1.3764800623701496,1.9494249560217929,1.5554443333486956,1.6574109337519534,1.436369387062214,1.4181247998755109
gla_pc_cse,1.0111886576609117,1.0038749848865736,1.014130167618051,1.0016342625855774,1.002214507571759,1.0104758972334424,1.0043930197450317,1.0105768617893405,1.0006469521314652,1.0028318506836809
sgr_dk_rav,1.4930537548383045,1.3107820188794264,1.5727874767476664,1.1929071119026375,1.2505335972550855,1.8055969638911715,1.406190572180002,1.6010972987173184,1.202471987421981,1.3069464026106576
prm_pc_cse,1.0582629792153757,1.024958607148005,1.09181720494594,1.024019902353439,1.0147108115337369,1.0944439303117002,1.042132721402646,1.0667176605309745,0.99109224177385,1.0128863242256452
pst_pc_cse,2.3590143276620448,1.6988355921017262,2.459887183695709,1.978309293550692,1.717659580846411,3.4129669850720097,1.9710708763555949,2.596651944679323,1.8510416972237345,1.5583366734261177
dor_pc_pva,1.4426020060080995,1.2066791845113374,1.5640800283526148,1.1242797203161727,1.1694608854569415,1.9208882948462251,1.3714105351563464,1.527618392326232,1.0994482176784115,1.17406213906111
pH,2.01405551054158,1.262163543531981,2.1108618436010844,1.4920885468301806,1.4162995726394214,3.153230784810561,1.7579853142177513,2.40168575448667,1.4494307960634845,1.34977839186564
