,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
Mean_DO_mg_per_L,1.0512210962371846,1.0038109171850564,1.1463656329424754,1.0551574487728874,1.0192935300640775,0.9990496749547008,1.0075321994901505,0.9998636728590192,1.0008857781231266,1.1187328474307237
Mean_DO_percent_saturation,1.0512210962371846,1.0038109171850564,1.1463656329424754,1.0551574487728874,1.0192935300640775,0.9990496749547008,1.0075321994901505,0.9998636728590192,1.0008857781231266,1.1187328474307237
RA_SO,1.1185329192771598,1.047433009121474,1.405386176029267,1.0443606362972704,1.092460535468743,1.0057214754594928,1.0118269174026404,1.027297116833308,1.016405368980605,1.2999878778664111
RA_ms_di,1.1185329192771598,1.047433009121474,1.405386176029267,1.0443606362972704,1.092460535468743,1.0057214754594928,1.0118269174026404,1.027297116833308,1.016405368980605,1.2999878778664111
RA_dm,1.1185329192771598,1.047433009121474,1.405386176029267,1.0443606362972704,1.092460535468743,1.0057214754594928,1.0118269174026404,1.027297116833308,1.016405368980605,1.2999878778664111
RA_ms_av,1.1185329192771598,1.047433009121474,1.405386176029267,1.0443606362972704,1.092460535468743,1.0057214754594928,1.0118269174026404,1.027297116833308,1.016405368980605,1.2999878778664111
dor_pc_pva,1.1185329192771598,1.047433009121474,1.405386176029267,1.0443606362972704,1.092460535468743,1.0057214754594928,1.0118269174026404,1.027297116833308,1.016405368980605,1.2999878778664111
pre_mm_cyr,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
run_mm_cyr,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
gwt_cm_cav,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
slp_dg_cav,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
ele_mt_cav,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
tmp_dc_cyr,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
Mean_Temp_Deg_C,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
prm_pc_cse,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
tmp_dc_cdi,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
pre_mm_cdi,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
for_pc_cse,1.355004681586298,1.1415179573902885,1.606216821261638,1.1661193600923545,1.107501826652892,1.084985110077038,1.1190594016179534,1.0931801444506086,1.1009080417796135,1.4911933111255795
ire_pc_cse,1.01845303823413,1.0000145560082585,1.0542413235238453,1.003434352698477,1.0013142298671174,1.004134462753555,0.9968077137037286,1.0004221898298449,1.002521158155259,1.0205202879351276
crp_pc_cse,1.0395544098936105,1.0017223791813894,1.0999919538416036,1.0032777697518178,0.997103155534085,1.0013745978226245,0.9966004475471232,0.997194331145032,0.9997883931496704,1.0338549729181217
pH,1.0508363766414486,1.005417507860002,1.1878668793204543,1.0021378013971645,1.0109140674644073,0.9965439333027876,0.99765237731042,1.000634039315927,0.998569080649815,1.0409735616808105
ppd_pk_cav,1.0162955059823051,0.9993352613846518,1.0675158537454077,1.0039866798933654,1.002656729330918,1.0006806074086347,1.004312147174966,0.9962410896969188,1.000528620993985,1.0187421439169282
pst_pc_cse,1.037130268714425,0.999563647217487,1.1099418392004357,1.0119063159009738,0.995075988325698,0.993583033836798,1.0005900180488398,1.013672486998459,0.999620899690154,1.040302494989503
gla_pc_cse,1.000561021364348,1.0000063762823186,1.0038884460548143,1.0001983052719934,1.0000000007989525,0.9999381243217184,1.000242185839042,1.000034302356584,0.9998583679238742,1.0037152073965108
sgr_dk_rav,1.0157336743808285,1.002395847492353,1.174425543796085,1.00680471638382,1.0035340402409758,1.0030064523652933,1.014321522381551,1.0013907156958397,1.0043958132420845,1.0213381245093944
