Site_ID,Sample_Longitude,Sample_Latitude,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.56,
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.56,
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.56,
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.83,
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.83,
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.83,
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.24,
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.24,
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.24,
CM_021-1,-111.0953268,32.3504894,32.44,7.0,4.9,
CM_021-2,-111.0953268,32.3504894,32.44,7.0,4.9,
CM_021-3,-111.0953268,32.3504894,32.44,7.0,4.9,
CM_035-2,-92.785556,45.084433,7.86,6.5,13.71,
CM_035-3,-92.785556,45.084433,7.86,6.5,13.71,
CM_068-4,-92.4631118,30.1982931,22.93,6.5,3.51,
CM_068-5,-92.4631118,30.1982931,22.93,6.5,3.51,
CM_068-6,-92.4631118,30.1982931,22.93,6.5,3.51,
CM_088-1,-122.379308,45.537135,9.64,6.5,11.43,
CM_088-2,-122.379308,45.537135,9.64,6.5,11.43,
CM_088-3,-122.379308,45.537135,9.64,6.5,11.43,
SSS006-1,-120.6206,46.6218,19.43,8.59,9.81,
SSS006-2,-120.6206,46.6218,19.43,8.59,9.81,
SSS006-3,-120.6206,46.6218,19.43,8.59,9.81,
SSS010-1,-121.0675,46.8095,13.61,8.0,9.68,
SSS010-2,-121.0675,46.8095,13.61,8.0,9.68,
SSS010-3,-121.0675,46.8095,13.61,8.0,9.68,
SSS011-1,-121.0672,46.8099,12.59,7.79,9.92,
SSS011-2,-121.0672,46.8099,12.59,7.79,9.92,
SSS011-3,-121.0672,46.8099,12.59,7.79,9.92,
SSS013-1,-119.474,46.2554,22.45,8.19,8.37,
SSS013-2,-119.474,46.2554,22.45,8.19,8.37,
SSS013-3,-119.474,46.2554,22.45,8.19,8.37,
SSS015-1,-120.4704,46.5302,19.08,8.19,10.24,
SSS015-2,-120.4704,46.5302,19.08,8.19,10.24,
SSS015-3,-120.4704,46.5302,19.08,8.19,10.24,
SSS019-1,-121.1285,47.0195,12.24,8.02,9.84,
SSS019-2,-121.1285,47.0195,12.24,8.02,9.84,
SSS019-3,-121.1285,47.0195,12.24,8.02,9.84,
SSS028-1,-120.8717,46.2902,15.5,7.69,8.41,
SSS028-2,-120.8717,46.2902,15.5,7.69,8.41,
SSS028-3,-120.8717,46.2902,15.5,7.69,8.41,
SSS034-1,-121.0977,47.3966,15.09,7.6,9.78,
SSS034-2,-121.0977,47.3966,15.09,7.6,9.78,
SSS034-3,-121.0977,47.3966,15.09,7.6,9.78,
SSS035-1,-121.104,47.3956,19.35,7.26,8.68,
SSS035-2,-121.104,47.3956,19.35,7.26,8.68,
SSS035-3,-121.104,47.3956,19.35,7.26,8.68,
SSS039-1,-120.6115,46.0284,18.3,7.84,9.35,
SSS039-2,-120.6115,46.0284,18.3,7.84,9.35,
SSS039-3,-120.6115,46.0284,18.3,7.84,9.35,
SSS044-1,-121.158,46.9754,17.03,7.41,9.29,
SSS044-2,-121.158,46.9754,17.03,7.41,9.29,
SSS044-3,-121.158,46.9754,17.03,7.41,9.29,
SSS045-1,-121.1579,46.976,14.91,7.61,9.91,
SSS045-2,-121.1579,46.976,14.91,7.61,9.91,
SSS045-3,-121.1579,46.976,14.91,7.61,9.91,
S19S_0007-D,-119.195598,37.05255,11.2,6.5,,
S19S_0007-U,-119.195359,37.05229,11.2,6.5,,
S19S_0009-D,-108.3983,42.9877,25.6,8.0,,
S19S_0009-M,-108.3983,42.9876,25.6,8.0,,
S19S_0009-U,-108.3982,42.9875,25.6,8.0,,
S19S_0042-D,-80.96434,25.40976,29.1,7.5,3.9,
S19S_0042-U,-80.96423,25.40982,29.1,7.5,3.9,
S19S_0055-D,-117.180863,46.732428,20.1,7.5,,
S19S_0055-M,-117.180621,46.732323,20.1,7.5,,
S19S_0055-U,-117.180384,46.7322206,20.1,7.5,,
S19S_0044-D,-79.811134,33.131027,24.0,6.0,,
S19S_0044-U,-79.810168,33.130796,24.0,6.0,,
S19S_0033-D,-119.2554,37.0576,16.6,7.0,9.46,
S19S_0033-M,-119.2557,37.0582,16.6,7.0,9.46,
S19S_0033-U,-119.256,37.0581,16.6,7.0,9.46,
S19S_0059-D,-117.3915976,48.16874998,11.0,6.5,,
S19S_0059-M,-117.3913007,48.16841972,11.0,6.5,,
S19S_0069-D,-123.735151,39.362202,15.0,6.5,,
S19S_0069-M,-123.734753,39.362129,15.0,6.5,,
S19S_0069-U,-123.734848,39.362343,15.0,6.5,,
S19S_0013-D,-78.1476,38.8952,21.1,6.5,7.56,
S19S_0013-M,-78.1474,38.8945,21.1,6.5,7.56,
S19S_0013-U,-78.1474,38.8944,21.1,6.5,7.56,
S19S_0084-M,-71.722778,43.954722,17.2,6.0,,
S19S_0080-D,-106.681374,34.950811,22.7,8.11,6.66,
S19S_0080-M,-106.681271,34.950833,22.7,8.11,6.66,
S19S_0080-U,-106.681382,34.950903,22.7,8.11,6.66,
S19S_0032-D,-119.02313,39.95545,13.1,7.0,9.35,
