Sample_ID GL_lon GL_lat RA_cms_cyr RA_cms_cmn RA_cms_cmx RA_SO RA_dm RA_lm my_lm RA_xam2 run_mm_cyr dor_pc_pva gwt_cm_cav ele_mt_cav slp_dg_cav sgr_dk_rav tmp_dc_cyr tmp_dc_cdi tmp_dc_uyr pre_mm_cyr pre_mm_cdi pre_mm_uyr aet_mm_cyr aet_mm_cdi aet_mm_uyr cmi_ix_cyr cmi_ix_cdi cmi_ix_uyr snw_pc_cyr snw_pc_cmx snw_pc_uyr for_pc_cse for_pc_use crp_pc_cse crp_pc_use pst_pc_cse pst_pc_use ire_pc_cse ire_pc_use gla_pc_cse gla_pc_use prm_pc_cse prm_pc_use pac_pc_cse pac_pc_use cly_pc_cav cly_pc_uav slt_pc_cav slt_pc_uav snd_pc_cav snd_pc_uav soc_th_cav soc_th_uav swc_pc_cyr swc_pc_cdi swc_pc_uyr kar_pc_cse kar_pc_use ero_kh_cav ero_kh_uav pop_ct_csu pop_ct_usu ppd_pk_cav ppd_pk_uav urb_pc_cse urb_pc_use nli_ix_cav nli_ix_uav rdd_mk_cav rdd_mk_uav hft_ix_c09 hft_ix_u09 gdp_md_cav gdp_md_usu hdi_ix_cav dist_m RA_lon RA_lat
SP-21 -121.37615 38.311348 25.716 2.711 68.236 4 1.38443 7.03 7025.14862054 41.9424 185 62 10 8 1 10 157 163 138 436 91 926 370 60 581 -68 162 -26 0 2 8 2 68 49 5 19 16 48 6 0 0 0 0 31 2 20 17 32 33 49 50 24 33 32 56 55 0 0 904 962 0.172 81.042 6.593 40.919 0 3 1217 900 1291 563 132 91 0.055768 5858.44 951 0.141233214869 -121.376151267 38.3113487868
SP-4 -79.04419 33.83207 2.208 1.516 3.379 2 0.454634 2.59 2591.58308685 2.87876 460 0 2 2 2 12 174 196 173 1287 95 1276 1071 87 1067 -4 96 -5 0 2 0 100 28 8 18 1 1 1 2 0 0 0 0 0 0 18 20 33 36 49 45 34 29 83 29 82 0 0 42 870 2.148 16.314 367.817 108.537 38 6 5788 3600 1868 863 361 233 0.042583 774.504 865 40.7815597955 -79.04375 33.8320700008
SP-42 -82.2683 29.8909 0.134 0.104 0.179 1 0.112211 2.15 2144.719955 0.474419 289 0 20 42 0 27 201 150 201 1331 146 1331 1125 84 1125 -12 79 -12 0 0 0 100 100 14 14 21 21 2 2 0 0 0 0 0 0 18 18 27 27 55 55 29 29 76 23 76 100 100 108 108 0.015 0.015 0.989 0.989 0 0 478 500 170 170 59 59 0.050123 1.8265 892 2756.54279962 -82.275 29.8666666667
SP-66 -79.182578 33.436432 548.429 303.668 949.199 6 3.56037 11.57 9153.93534633 446.268 444 80 62 6 6 3 176 187 157 1334 98 1198 1090 79 986 1 98 -9 2 8 1 97 46 1 20 0 3 0 1 0 0 0 0 2 2 9 19 26 35 65 46 112 32 86 28 79 0 5 318 1456 1.455 2570.166 38.834 63.239 0 4 1667 1800 452 697 149 140 0.042583 122671 865 426.853847195 -79.1860957239 33.4389048524
SP-39 -82.2105 29.8763 1.646 1.299 2.184 2 0.344281 8.76 8750.36760805 1.90023 286 0 15 43 0 3 201 150 200 1330 147 1331 1126 84 1126 -11 78 -11 0 0 0 82 78 4 3 9 8 1 1 0 0 0 0 0 0 18 18 28 28 54 53 35 34 76 23 77 100 100 88 249 0.586 10.496 18.897 59.679 0 0 620 2000 289 651 73 170 0.050123 532.158 892 50.9591221368 -82.2108978731 29.8766022896
SP-8 -123.24984 44.550674 375.695 88.830 614.453 6 3.09366 1.23 1231.05791437 301.795 1136 168 11 68 6 41 112 146 84 1094 179 1491 600 86 644 7 184 34 6 23 23 64 83 68 9 32 8 11 3 0 0 0 0 0 12 16 15 41 39 43 46 36 72 70 72 77 0 0 566 1161 0.668 348.259 420.967 32.948 20 2 5318 500 2982 327 423 55 0.047639 17191.5 928 156.675929856 -123.249839996 44.5520833521
SP-78 -73.63141 42.73264 4.767 2.501 13.520 3 0.737654 7.19 7202.80956018 9.7516 602 0 150 118 38 145 84 274 73 964 39 1061 740 106 752 -2 125 12 8 43 21 80 92 20 7 3 5 0 0 0 0 0 0 0 0 17 14 41 38 42 47 36 62 82 39 87 0 0 893 640 12.682 21.465 727.312 89.713 54 4 5992 2200 4044 817 369 156 0.063747 1730.9 952 102.332943046 -73.6304057879 42.7320942696
SP-61 -121.9277778 42.12805556 53.305 19.237 119.888 6 1.70247 19.95 19958.7193146 70.3979 207 409 282 1306 45 22 77 202 59 414 63 599 354 54 450 -61 169 -40 17 77 32 56 67 16 4 13 14 30 4 0 0 0 0 1 10 15 12 44 35 41 51 42 46 39 49 53 0 0 488 442 2.232 53.934 25.033 5.611 0 0 839 200 248 105 52 27 0.047639 2517.48 928 18.3583189534 -121.927955632 42.1279570141
SP-71 -111.886928 41.720533 5.563 1.166 23.128 4 0.93274 4.62 4624.25528412 15.9838 136 0 37 1354 3 22 89 272 34 464 33 497 397 65 424 -58 152 -45 18 84 40 26 89 38 9 3 16 51 2 0 0 0 0 0 21 21 22 41 42 38 36 25 32 40 38 51 100 62 238 1658 4.649 41.306 299.058 29.680 23 3 5253 500 2635 302 320 46 0.042655 2559.59 925 259.76519626 -111.88443332 41.7219334631
SP-31 -89.834233 30.765533 305.716 96.333 570.782 5 3.00126 4.30 4291.01045305 282.39 625 440 19 31 5 7 191 180 177 1593 79 1473 1195 94 1102 8 94 3 0 1 1 78 87 10 10 21 7 0 0 0 0 0 0 54 0 16 19 35 36 48 45 74 30 84 30 80 0 8 302 585 0.905 604.939 91.313 35.805 12 2 3069 1100 1042 427 240 96 0.042933 25758.9 794 304.530989879 -89.83125 30.7645833333
SP-57 -117.104078 32.783567 3.797 0.410 13.211 3 0.801836 1.99 1990.00704756 9.65427 90 2313 425 72 38 30 174 90 160 278 56 449 242 33 379 -76 99 -68 0 0 0 0 55 0 2 0 3 0 0 0 0 0 0 3 8 21 15 33 27 46 58 12 20 22 31 30 0 0 1 1850 9.875 404.491 2335.151 385.193 100 22 6300 2500 9600 2121 380 155 0.055768 21882.8 951 10.3704849702 -117.10399342 32.7835066457
SP-38 -82.2206 29.9046 1.646 1.299 2.184 2 0.344281 8.76 8750.36760805 1.90023 286 0 15 43 0 3 201 150 200 1330 147 1331 1126 84 1126 -11 78 -11 0 0 0 82 78 4 3 9 8 1 1 0 0 0 0 0 0 18 18 28 28 54 53 35 34 76 23 77 100 100 88 249 0.586 10.496 18.897 59.679 0 0 620 2000 289 651 73 170 0.050123 532.158 892 984.285771647 -82.2104166667 29.9046003911
SP-34 -82.2 29.9683 0.955 0.754 1.270 1 0.174796 15.69 10718.8972545 0.914085 289 0 15 48 0 8 200 150 200 1332 148 1332 1127 84 1127 -11 77 -11 0 0 0 81 81 3 3 7 7 1 1 0 0 0 0 0 0 18 18 29 28 53 52 33 33 77 22 77 100 100 300 300 8.591 8.591 83.764 83.764 0 0 2411 2400 808 807 193 193 0.050123 448.129 892 3770.14285796 -82.1729166667 29.94375
SP-45 -83.2387 30.1553 185.434 121.202 319.486 6 2.4071 2.91 2910.25082289 168.274 383 0 15 27 7 17 199 160 193 1369 134 1283 1159 86 1085 -10 91 -13 0 2 0 34 63 19 22 19 3 5 7 0 0 0 0 0 9 18 18 29 30 53 52 40 45 77 28 75 100 100 926 2530 0.160 349.512 13.323 18.693 0 1 498 800 258 303 61 85 0.050123 16821.5 892 169.551828205 -83.237370702 30.1542961533
SP-43 -82.2105 29.9499 0.955 0.754 1.270 1 0.174796 15.69 7101.51541277 0.914085 289 0 15 48 0 8 200 150 200 1332 148 1332 1127 84 1127 -11 77 -11 0 0 0 81 81 3 3 7 7 1 1 0 0 0 0 0 0 18 18 29 28 53 52 33 33 77 22 77 100 100 300 300 8.591 8.591 83.764 83.764 0 0 2411 2400 808 807 193 193 0.050123 448.129 892 3181.72687735 -82.1856305305 29.9310382953
SP-6 -92.656935 45.456254 129.688 108.069 149.784 5 1.88935 4.83 4838.66061471 85.1184 253 38 151 273 34 2 60 340 48 776 93 758 657 108 641 -14 118 -14 11 69 21 67 86 30 12 5 3 1 0 0 0 0 0 29 8 16 12 45 39 39 49 40 54 78 27 78 100 6 1005 541 0.145 186.247 12.466 13.322 0 0 1495 900 209 212 152 67 0.05307 10901.8 948 43.699537574 -92.6564790938 45.4564798387
SP-55 -116.989642 32.844144 3.156 0.327 11.443 3 0.680649 7.31 7310.8855297 8.45923 109 2783 432 168 52 26 177 108 156 327 62 483 278 40 407 -76 99 -65 0 0 0 17 61 0 2 2 3 0 1 0 0 0 0 0 10 18 14 31 26 51 60 14 22 22 35 32 0 0 659 2166 43.313 105.452 1238.999 128.505 88 10 6081 1700 4424 878 334 112 0.055768 5868.77 951 32.3763901724 -116.989377684 32.8439556618
